eliteId,stageId,displayName,stageTitle,baseTemplate,themeTag,spawnWave,recommendedLevel,roleTag,mechanicSummary,rewardTrigger,codexWriteback,bossCodexRef,dropGroupId,notes
elite_lq_early_01_01,LQ_EARLY_01,铜爪狼将·前锋,野狼谷外围第1精英,铜爪狼将,wolf_hunt,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_early_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_lq_early_01_02,LQ_EARLY_01,铜爪狼将·统御,野狼谷外围第2精英,铜爪狼将,wolf_hunt,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_early_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_lq_early_01_03,LQ_EARLY_01,铜爪狼将·破阵,野狼谷外围第3精英,铜爪狼将,wolf_hunt,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_early_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_lq_mid_01_01,LQ_MID_01,啸风狼将·前锋,野狼谷中心第1精英,啸风狼将,wolf_hunt,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_mid_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_lq_mid_01_02,LQ_MID_01,啸风狼将·统御,野狼谷中心第2精英,啸风狼将,wolf_hunt,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_mid_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_lq_mid_01_03,LQ_MID_01,啸风狼将·破阵,野狼谷中心第3精英,啸风狼将,wolf_hunt,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_mid_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_lq_late_01_01,LQ_LATE_01,赤瞳狼将·前锋,野狼谷深处第1精英,赤瞳狼将,wolf_hunt,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_late_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_lq_late_01_02,LQ_LATE_01,赤瞳狼将·统御,野狼谷深处第2精英,赤瞳狼将,wolf_hunt,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_late_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_lq_late_01_03,LQ_LATE_01,赤瞳狼将·破阵,野狼谷深处第3精英,赤瞳狼将,wolf_hunt,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_0_boss,drop_lq_late_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_zj_early_01_01,ZJ_EARLY_01,断岳剑侍·前锋,青云剑墟第1精英,断岳剑侍,sword_pressure,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_early_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_zj_early_01_02,ZJ_EARLY_01,断岳剑侍·统御,青云剑墟第2精英,断岳剑侍,sword_pressure,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_early_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_zj_early_01_03,ZJ_EARLY_01,断岳剑侍·破阵,青云剑墟第3精英,断岳剑侍,sword_pressure,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_early_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_zj_mid_01_01,ZJ_MID_01,锁廊剑将·前锋,剑阁回廊第1精英,锁廊剑将,sword_pressure,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_mid_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_zj_mid_01_02,ZJ_MID_01,锁廊剑将·统御,剑阁回廊第2精英,锁廊剑将,sword_pressure,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_mid_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_zj_mid_01_03,ZJ_MID_01,锁廊剑将·破阵,剑阁回廊第3精英,锁廊剑将,sword_pressure,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_mid_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_zj_late_01_01,ZJ_LATE_01,埋锋剑侯·前锋,万剑峰第1精英,埋锋剑侯,sword_pressure,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_late_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_zj_late_01_02,ZJ_LATE_01,埋锋剑侯·统御,万剑峰第2精英,埋锋剑侯,sword_pressure,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_late_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_zj_late_01_03,ZJ_LATE_01,埋锋剑侯·破阵,万剑峰第3精英,埋锋剑侯,sword_pressure,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_1_boss,drop_zj_late_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_jd_early_01_01,JD_EARLY_01,焚血魔将·前锋,火云洞口第1精英,焚血魔将,fire_burn,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_early_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_jd_early_01_02,JD_EARLY_01,焚血魔将·统御,火云洞口第2精英,焚血魔将,fire_burn,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_early_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_jd_early_01_03,JD_EARLY_01,焚血魔将·破阵,火云洞口第3精英,焚血魔将,fire_burn,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_early_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_jd_mid_01_01,JD_MID_01,熔炉魔尉·前锋,熔火回廊第1精英,熔炉魔尉,fire_burn,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_mid_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_jd_mid_01_02,JD_MID_01,熔炉魔尉·统御,熔火回廊第2精英,熔炉魔尉,fire_burn,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_mid_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_jd_mid_01_03,JD_MID_01,熔炉魔尉·破阵,熔火回廊第3精英,熔炉魔尉,fire_burn,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_mid_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_jd_late_01_01,JD_LATE_01,渊火魔将·前锋,魔渊入口第1精英,渊火魔将,fire_burn,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_late_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_jd_late_01_02,JD_LATE_01,渊火魔将·统御,魔渊入口第2精英,渊火魔将,fire_burn,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_late_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_jd_late_01_03,JD_LATE_01,渊火魔将·破阵,魔渊入口第3精英,渊火魔将,fire_burn,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_2_boss,drop_jd_late_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_yy_early_01_01,YY_EARLY_01,寒魄魈将·前锋,冰魄渊口第1精英,寒魄魈将,ice_control,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_early_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_yy_early_01_02,YY_EARLY_01,寒魄魈将·统御,冰魄渊口第2精英,寒魄魈将,ice_control,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_early_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_yy_early_01_03,YY_EARLY_01,寒魄魈将·破阵,冰魄渊口第3精英,寒魄魈将,ice_control,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_early_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_yy_mid_01_01,YY_MID_01,踏冰魈将·前锋,玄冰长阶第1精英,踏冰魈将,ice_control,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_mid_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_yy_mid_01_02,YY_MID_01,踏冰魈将·统御,玄冰长阶第2精英,踏冰魈将,ice_control,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_mid_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_yy_mid_01_03,YY_MID_01,踏冰魈将·破阵,玄冰长阶第3精英,踏冰魈将,ice_control,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_mid_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_yy_late_01_01,YY_LATE_01,禁地主魈·前锋,霜魂禁地第1精英,禁地主魈,ice_control,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_late_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_yy_late_01_02,YY_LATE_01,禁地主魈·统御,霜魂禁地第2精英,禁地主魈,ice_control,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_late_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_yy_late_01_03,YY_LATE_01,禁地主魈·破阵,霜魂禁地第3精英,禁地主魈,ice_control,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_3_boss,drop_yy_late_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_hs_early_01_01,HS_EARLY_01,逐雷鹏将·前锋,雷泽外域第1精英,逐雷鹏将,thunder_chain,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_early_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_hs_early_01_02,HS_EARLY_01,逐雷鹏将·统御,雷泽外域第2精英,逐雷鹏将,thunder_chain,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_early_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_hs_early_01_03,HS_EARLY_01,逐雷鹏将·破阵,雷泽外域第3精英,逐雷鹏将,thunder_chain,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_early_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_hs_mid_01_01,HS_MID_01,雷泽鹏侯·前锋,雷泽心渊第1精英,雷泽鹏侯,thunder_chain,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_mid_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_hs_mid_01_02,HS_MID_01,雷泽鹏侯·统御,雷泽心渊第2精英,雷泽鹏侯,thunder_chain,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_mid_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_hs_mid_01_03,HS_MID_01,雷泽鹏侯·破阵,雷泽心渊第3精英,雷泽鹏侯,thunder_chain,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_mid_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_hs_late_01_01,HS_LATE_01,祭坛镇鹏·前锋,天雷祭坛第1精英,祭坛镇鹏,thunder_chain,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_late_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_hs_late_01_02,HS_LATE_01,祭坛镇鹏·统御,天雷祭坛第2精英,祭坛镇鹏,thunder_chain,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_late_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_hs_late_01_03,HS_LATE_01,祭坛镇鹏·破阵,天雷祭坛第3精英,祭坛镇鹏,thunder_chain,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_4_boss,drop_hs_late_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_lx_early_01_01,LX_EARLY_01,虚窥魔将·前锋,虚空裂隙第1精英,虚窥魔将,void_distort,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_5_boss,drop_lx_early_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_lx_early_01_02,LX_EARLY_01,虚窥魔将·统御,虚空裂隙第2精英,虚窥魔将,void_distort,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_5_boss,drop_lx_early_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_lx_early_01_03,LX_EARLY_01,虚窥魔将·破阵,虚空裂隙第3精英,虚窥魔将,void_distort,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_5_boss,drop_lx_early_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_lx_mid_01_01,LX_MID_01,折界瞳将·前锋,折光回廊第1精英,折界瞳将,void_distort,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_5_boss,drop_lx_mid_01_elite_1,第1精英节点；清场后继续推进20波主链。
elite_lx_mid_01_02,LX_MID_01,折界瞳将·统御,折光回廊第2精英,折界瞳将,void_distort,W10,10,build_check,第二精英负责检验中局 build 是否真正成型。,elite_2,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_5_boss,drop_lx_mid_01_elite_2,第2精英节点；清场后继续推进20波主链。
elite_lx_mid_01_03,LX_MID_01,折界瞳将·破阵,折光回廊第3精英,折界瞳将,void_distort,W15,15,endgame_gate,第三精英负责检验终局 build 是否足以进入首领战。,elite_3,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_5_boss,drop_lx_mid_01_elite_3,第3精英节点；清场后继续推进20波主链。
elite_lx_late_01_01,LX_LATE_01,空冥瞳将·前锋,空冥之眼第1精英,空冥瞳将,void_distort,W05,5,pressure_gate,第一精英负责校验基础清怪与第一轮 build 起势。,elite_1,不写入持久图鉴，仅用于轻肉鸽精英节点识别。,monster_5_boss,drop_lx_late_01_elite_1,第1精英节点；清场后继续推进20波主链。
