stageId,大境界,阶段,关卡,背景文件,推荐尺寸,提示词,状态
炼气_初期_野狼谷外围,炼气,初期,野狼谷外围,炼气_初期_野狼谷外围_bg.png,1242x2208,修仙题材 2D 战斗背景，炼气初期，地点为野狼谷外围，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
炼气_中期_野狼谷中心,炼气,中期,野狼谷中心,炼气_中期_野狼谷中心_bg.png,1242x2208,修仙题材 2D 战斗背景，炼气中期，地点为野狼谷中心，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
炼气_后期_野狼谷深处,炼气,后期,野狼谷深处,炼气_后期_野狼谷深处_bg.png,1242x2208,修仙题材 2D 战斗背景，炼气后期，地点为野狼谷深处，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
筑基_初期_青云剑墟,筑基,初期,青云剑墟,筑基_初期_青云剑墟_bg.png,1242x2208,修仙题材 2D 战斗背景，筑基初期，地点为青云剑墟，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
筑基_中期_剑阁回廊,筑基,中期,剑阁回廊,筑基_中期_剑阁回廊_bg.png,1242x2208,修仙题材 2D 战斗背景，筑基中期，地点为剑阁回廊，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
筑基_后期_万剑峰,筑基,后期,万剑峰,筑基_后期_万剑峰_bg.png,1242x2208,修仙题材 2D 战斗背景，筑基后期，地点为万剑峰，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
结丹_初期_火云洞口,结丹,初期,火云洞口,结丹_初期_火云洞口_bg.png,1242x2208,修仙题材 2D 战斗背景，结丹初期，地点为火云洞口，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
结丹_中期_熔火回廊,结丹,中期,熔火回廊,结丹_中期_熔火回廊_bg.png,1242x2208,修仙题材 2D 战斗背景，结丹中期，地点为熔火回廊，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
结丹_后期_魔渊入口,结丹,后期,魔渊入口,结丹_后期_魔渊入口_bg.png,1242x2208,修仙题材 2D 战斗背景，结丹后期，地点为魔渊入口，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
元婴_初期_冰魄渊口,元婴,初期,冰魄渊口,元婴_初期_冰魄渊口_bg.png,1242x2208,修仙题材 2D 战斗背景，元婴初期，地点为冰魄渊口，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
元婴_中期_玄冰长阶,元婴,中期,玄冰长阶,元婴_中期_玄冰长阶_bg.png,1242x2208,修仙题材 2D 战斗背景，元婴中期，地点为玄冰长阶，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
元婴_后期_霜魂禁地,元婴,后期,霜魂禁地,元婴_后期_霜魂禁地_bg.png,1242x2208,修仙题材 2D 战斗背景，元婴后期，地点为霜魂禁地，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
化神_初期_雷泽外域,化神,初期,雷泽外域,化神_初期_雷泽外域_bg.png,1242x2208,修仙题材 2D 战斗背景，化神初期，地点为雷泽外域，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
化神_中期_雷泽心渊,化神,中期,雷泽心渊,化神_中期_雷泽心渊_bg.png,1242x2208,修仙题材 2D 战斗背景，化神中期，地点为雷泽心渊，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
