stageId,stageIndex,显示关卡名,上一关stageId,解锁方式,大境界,阶段,境界索引,主线关卡,战场标题,主题标签,主题说明,普通怪引用,小Boss模板引用,大Boss引用,图鉴普通ID,图鉴BossID,enemyGroupSetId,eliteSetId,bossMechanicId,默认Boss掉落组ID,目标波次数,局内等级上限,升级可选次数,单局时长目标秒,单关总经验,备注
LQ_EARLY_01,1,1.野狼谷外围,,默认解锁,炼气,初期,0,野狼谷外围,炼气初境·野狼谷外围,wolf_hunt,狼潮围猎，强调侧翼包抄、逼近与短时安全区收缩。,灰鬃狼妖,铜爪狼将,噬月狼王,monster_0_normal,monster_0_boss,egs_lq_early_01,els_lq_early_01,boss_lq_early_01,drop_lq_early_01_boss_clear,20,20,20,360,1078,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
LQ_MID_01,2,2.野狼谷中心,LQ_EARLY_01,通关上一关自动解锁,炼气,中期,1,野狼谷中心,炼气中境·野狼谷中心,wolf_hunt,狼潮围猎，强调侧翼包抄、逼近与短时安全区收缩。,裂齿狼妖,啸风狼将,噬月狼王,monster_0_normal,monster_0_boss,egs_lq_mid_01,els_lq_mid_01,boss_lq_mid_01,drop_lq_mid_01_boss_clear,20,20,20,360,1439,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
LQ_LATE_01,3,3.野狼谷深处,LQ_MID_01,通关上一关自动解锁,炼气,后期,2,野狼谷深处,炼气后境·野狼谷深处,wolf_hunt,狼潮围猎，强调侧翼包抄、逼近与短时安全区收缩。,血鬃狼妖,赤瞳狼将,噬月狼王,monster_0_normal,monster_0_boss,egs_lq_late_01,els_lq_late_01,boss_lq_late_01,drop_lq_late_01_boss_clear,20,20,20,360,1798,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
ZJ_EARLY_01,4,4.青云剑墟,LQ_LATE_01,通关上一关自动解锁,筑基,初期,3,青云剑墟,筑基初境·青云剑墟,sword_pressure,残剑齐鸣，强调直线穿刺、回旋压迫与狭窄走位。,残剑灵,断岳剑侍,断岳剑主,monster_1_normal,monster_1_boss,egs_zj_early_01,els_zj_early_01,boss_zj_early_01,drop_zj_early_01_boss_clear,20,20,20,360,1798,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
ZJ_MID_01,5,5.剑阁回廊,ZJ_EARLY_01,通关上一关自动解锁,筑基,中期,4,剑阁回廊,筑基中境·剑阁回廊,sword_pressure,残剑齐鸣，强调直线穿刺、回旋压迫与狭窄走位。,回廊剑魂,锁廊剑将,断岳剑主,monster_1_normal,monster_1_boss,egs_zj_mid_01,els_zj_mid_01,boss_zj_mid_01,drop_zj_mid_01_boss_clear,20,20,20,360,2153,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
ZJ_LATE_01,6,6.万剑峰,ZJ_MID_01,通关上一关自动解锁,筑基,后期,5,万剑峰,筑基后境·万剑峰,sword_pressure,残剑齐鸣，强调直线穿刺、回旋压迫与狭窄走位。,裂锋剑魄,埋锋剑侯,断岳剑主,monster_1_normal,monster_1_boss,egs_zj_late_01,els_zj_late_01,boss_zj_late_01,drop_zj_late_01_boss_clear,20,20,20,360,2516,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
JD_EARLY_01,7,7.火云洞口,ZJ_LATE_01,通关上一关自动解锁,结丹,初期,6,火云洞口,结丹初境·火云洞口,fire_burn,火息蔓延，强调持续灼烧、爆点扩散与站位惩罚。,炽骨魔,焚血魔将,熔心魔君,monster_2_normal,monster_2_boss,egs_jd_early_01,els_jd_early_01,boss_jd_early_01,drop_jd_early_01_boss_clear,20,20,20,360,2516,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
JD_MID_01,8,8.熔火回廊,JD_EARLY_01,通关上一关自动解锁,结丹,中期,7,熔火回廊,结丹中境·熔火回廊,fire_burn,火息蔓延，强调持续灼烧、爆点扩散与站位惩罚。,熔火魔躯,熔炉魔尉,熔心魔君,monster_2_normal,monster_2_boss,egs_jd_mid_01,els_jd_mid_01,boss_jd_mid_01,drop_jd_mid_01_boss_clear,20,20,20,360,2875,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
JD_LATE_01,9,9.魔渊入口,JD_MID_01,通关上一关自动解锁,结丹,后期,8,魔渊入口,结丹后境·魔渊入口,fire_burn,火息蔓延，强调持续灼烧、爆点扩散与站位惩罚。,灼心炎魔,渊火魔将,熔心魔君,monster_2_normal,monster_2_boss,egs_jd_late_01,els_jd_late_01,boss_jd_late_01,drop_jd_late_01_boss_clear,20,20,20,360,3236,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
YY_EARLY_01,10,10.冰魄渊口,JD_LATE_01,通关上一关自动解锁,元婴,初期,9,冰魄渊口,元婴初境·冰魄渊口,ice_control,寒域凝滞，强调减速、冻结与节奏打断。,霜牙雪魈,寒魄魈将,寒魄雪主,monster_3_normal,monster_3_boss,egs_yy_early_01,els_yy_early_01,boss_yy_early_01,drop_yy_early_01_boss_clear,20,20,20,360,3236,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
