图鉴ID,所属大境界,敌人类型,显示名称,档案标题,出没地点,stageIdScope,enemyIdRef,bossIdRef,eliteIdRef,解锁规则,解锁写回规则,立绘资源Key,排序,是否精英图鉴,mechanicSummary,dropPreviewGroup,妖物简述
monster_0_normal,炼气,普通怪,灰鬃狼妖,山谷边缘的噬血妖狼,野狼谷外围 / 野狼谷中心 / 野狼谷深处,LQ_EARLY_01|LQ_MID_01|LQ_LATE_01,lq_early_01_normal|lq_mid_01_normal|lq_late_01_normal,,,首次遭遇炼气阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_wolf_common,10,否,裂爪 / 扑杀号,drop_lq_early_01_normal,常年盘踞在野狼谷外围，嗅到血气便会成群扑来。
monster_0_boss,炼气,Boss,噬月狼王,月下啸聚的狼谷首领,野狼谷首领层,LQ_EARLY_01|LQ_MID_01|LQ_LATE_01,,lq_early_01_boss|lq_mid_01_boss|lq_late_01_boss,elite_lq_early_01_01|elite_lq_early_01_02|elite_lq_mid_01_01|elite_lq_mid_01_02|elite_lq_late_01_01|elite_lq_late_01_02,首次遭遇炼气阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_wolf_boss,20,否,噬月撕杀号 / 裂岳扑杀 / 吞血回息,drop_lq_early_01_boss_clear,吞食同类而成王，利爪与獠牙在夜色中最先显现。
monster_1_normal,筑基,普通怪,残剑灵,剑墟中苏醒的残兵之灵,青云剑墟 / 剑阁回廊 / 万剑峰,ZJ_EARLY_01|ZJ_MID_01|ZJ_LATE_01,zj_early_01_normal|zj_mid_01_normal|zj_late_01_normal,,,首次遭遇筑基阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_sword_common,30,否,断锋刺 / 回斩,drop_zj_early_01_normal,剑阁残意化灵，受惊后会催动断剑掠杀来者。
monster_1_boss,筑基,Boss,断岳剑主,守着旧剑意的墟中剑主,筑基首领层,ZJ_EARLY_01|ZJ_MID_01|ZJ_LATE_01,,zj_early_01_boss|zj_mid_01_boss|zj_late_01_boss,elite_zj_early_01_01|elite_zj_early_01_02|elite_zj_mid_01_01|elite_zj_mid_01_02|elite_zj_late_01_01|elite_zj_late_01_02,首次遭遇筑基阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_sword_boss,40,否,断岳斩 / 千锋回廊 / 剑息归身,drop_zj_early_01_boss_clear,其身已灭，唯剑意未灭，仍守在剑墟深处。
monster_2_normal,结丹,普通怪,炽骨魔,熔洞中游荡的火骨妖躯,火云洞口 / 熔火回廊 / 魔渊入口,JD_EARLY_01|JD_MID_01|JD_LATE_01,jd_early_01_normal|jd_mid_01_normal|jd_late_01_normal,,,首次遭遇结丹阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_flame_common,50,否,炎爪 / 灼骨扑杀,drop_jd_early_01_normal,骨骼如炭，内火不息，所过之处热浪翻卷。
monster_2_boss,结丹,Boss,熔心魔君,以熔火为心核的洞府魔首,结丹首领层,JD_EARLY_01|JD_MID_01|JD_LATE_01,,jd_early_01_boss|jd_mid_01_boss|jd_late_01_boss,elite_jd_early_01_01|elite_jd_early_01_02|elite_jd_mid_01_01|elite_jd_mid_01_02|elite_jd_late_01_01|elite_jd_late_01_02,首次遭遇结丹阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_flame_boss,60,否,熔心爆斩 / 火渊坠击 / 吞焰回心,drop_jd_early_01_boss_clear,深藏火云洞内，躯体在烈焰中不断重塑。
monster_3_normal,元婴,普通怪,霜牙雪魈,冰渊深处的寒魈,冰魄渊口 / 玄冰长阶 / 霜魂禁地,YY_EARLY_01|YY_MID_01|YY_LATE_01,yy_early_01_normal|yy_mid_01_normal|yy_late_01_normal,,,首次遭遇元婴阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_ice_common,70,否,冰牙啮 / 霜裂扑,drop_yy_early_01_normal,常伏于冰层之后，破冰而出时寒气逼骨。
monster_3_boss,元婴,Boss,寒魄雪主,凝聚极寒之息的雪魄首领,元婴首领层,YY_EARLY_01|YY_MID_01|YY_LATE_01,,yy_early_01_boss|yy_mid_01_boss|yy_late_01_boss,elite_yy_early_01_01|elite_yy_early_01_02|elite_yy_mid_01_01|elite_yy_mid_01_02|elite_yy_late_01_01|elite_yy_late_01_02,首次遭遇元婴阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_ice_boss,80,否,寒魄裂空 / 霜魂震地 / 凝霜回息,drop_yy_early_01_boss_clear,其息所过，连法器都能冻结成霜。
monster_4_normal,化神,普通怪,雷羽玄鹏,雷泽中盘旋的雷羽异禽,雷泽外域 / 雷泽心渊 / 天雷祭坛,HS_EARLY_01|HS_MID_01|HS_LATE_01,hs_early_01_normal|hs_mid_01_normal|hs_late_01_normal,,,首次遭遇化神阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_thunder_common,90,否,雷喙突袭 / 电羽俯斩,drop_hs_early_01_normal,振翅时电芒缠羽，俯冲速度快若惊雷。
monster_4_boss,化神,Boss,天雷鹏王,掌驭雷霆的泽域霸主,化神首领层,HS_EARLY_01|HS_MID_01|HS_LATE_01,,hs_early_01_boss|hs_mid_01_boss|hs_late_01_boss,elite_hs_early_01_01|elite_hs_early_01_02|elite_hs_mid_01_01|elite_hs_mid_01_02|elite_hs_late_01_01|elite_hs_late_01_02,首次遭遇化神阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_thunder_boss,100,否,天雷坠翼 / 雷泽震空 / 吞雷回鸣,drop_hs_early_01_boss_clear,其啼声能引动天雷，震得山泽俱鸣。
