enemyGroupId,stageId,groupName,themeTag,groupRole,normalEnemyRef,supportEnemyRef,spawnBatchSize,spawnOriginRule,maxAliveNormal,maxAliveSupport,pressureIntent,notes
lq_early_01_w01_open,LQ_EARLY_01,开场探压群,wolf_hunt,opening,灰鬃狼妖,铜爪狼将,3,edge_ring,14,0,建立第一波压迫，帮助玩家尽快拿到前几级经验。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w02_stable,LQ_EARLY_01,稳定推进群,wolf_hunt,stable,灰鬃狼妖,铜爪狼将,3,edge_ring,16,0,保持基础压迫，鼓励玩家继续走位拾取经验。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w03_mix,LQ_EARLY_01,第一混压群,wolf_hunt,mix,灰鬃狼妖,铜爪狼将,4,cross_stream,18,2,开始引入侧向夹击与小型特种怪。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w04_pre_elite,LQ_EARLY_01,一精英前压场群,wolf_hunt,pre_elite_1,灰鬃狼妖,铜爪狼将,4,front_pressure,18,3,为第5波精英拉满心理预期。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w06_after_elite,LQ_EARLY_01,一精英后回压群,wolf_hunt,after_elite_1,灰鬃狼妖,铜爪狼将,4,side_compress,20,2,让第一次 build 选择开始发力。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w07_cross,LQ_EARLY_01,交错追压群,wolf_hunt,cross,灰鬃狼妖,铜爪狼将,5,cross_stream,22,3,同时考验清怪和走位。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w08_range,LQ_EARLY_01,远近混压群,wolf_hunt,range_mix,灰鬃狼妖,铜爪狼将,5,backline_mix,22,4,把远程和突进压力叠加到一起。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w09_pre_elite2,LQ_EARLY_01,二精英前压测群,wolf_hunt,pre_elite_2,灰鬃狼妖,铜爪狼将,5,front_pressure,24,4,为第10波精英做最终压测。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w11_rebuild,LQ_EARLY_01,重组敌潮群,wolf_hunt,rebuild,灰鬃狼妖,铜爪狼将,5,edge_ring,24,3,第10波精英后重建敌潮节奏，准备第三精英前的成型期。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w12_special,LQ_EARLY_01,特种混成群,wolf_hunt,special,灰鬃狼妖,铜爪狼将,5,cross_stream,26,5,明显提高特种怪占比。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w13_dense,LQ_EARLY_01,高密围压群,wolf_hunt,dense,灰鬃狼妖,铜爪狼将,6,side_compress,28,5,密度持续抬升，逼迫 build 真正成型。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w14_pre_elite3,LQ_EARLY_01,三精英前高压群,wolf_hunt,pre_elite_3,灰鬃狼妖,铜爪狼将,6,front_pressure,28,6,把 build 推到第三精英检验点。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w16_overdrive,LQ_EARLY_01,终局蓄压群,wolf_hunt,overdrive,灰鬃狼妖,铜爪狼将,6,cross_stream,30,6,第15波后进入终局高压期。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w17_surge,LQ_EARLY_01,终局推进群,wolf_hunt,surge,灰鬃狼妖,铜爪狼将,6,side_compress,32,7,持续增压，不给空窗。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w18_pin,LQ_EARLY_01,终局定点群,wolf_hunt,pin,灰鬃狼妖,铜爪狼将,6,front_pressure,32,8,强化定点打击与封锁感。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_w19_pre_boss,LQ_EARLY_01,首领前压顶群,wolf_hunt,pre_boss,灰鬃狼妖,铜爪狼将,6,boss_guard,34,8,首领前最后压力顶峰。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
lq_early_01_boss_support,LQ_EARLY_01,首领伴生群,wolf_hunt,boss_support,灰鬃狼妖,铜爪狼将,3,boss_guard,10,6,第20波首领伴生压力，不喧宾夺主。,当前20波轻肉鸽敌群真源，不允许运行时公式拼群。
