大境界,阶段,关卡,敌人类型,出现位置,敌人名称,档案标题,气血,基础伤害,行动CD,技能1名称,技能1伤害,技能1CD,技能1效果,技能2名称,技能2伤害,技能2CD,技能2效果,技能3名称,技能3伤害,技能3CD,技能3效果,数值备注,当前可解锁神通数,最低通关神通数,最低通关神通组合,组合单次伤害,最低通关气血,最低通关预估秒数,通关结果说明,修为经验奖励
炼气,初期,野狼谷外围,普通怪,普通战斗层,灰鬃狼妖,山谷边缘游荡的狼妖,120,37,1.68,裂爪,37,1.6,,扑杀号,44,2.0,,,,,,基准值=60; hp系数=2; dmg系数=0.62,1,1,归元指,归元指:120,100,0.0,按当前正式战斗口径可稳定通关,55
炼气,初期,野狼谷外围,小Boss,第5层,铜爪狼将,率群狩猎的狼群头目,234,59,1.52,断喉扑,74,1.9,,裂骨撕咬,87,2.4,,,,,,基准值=60; hp系数=3.9; dmg系数=0.98,1,1,归元指,归元指:120,162,1.82,按当前正式战斗口径可稳定通关,180
炼气,初期,野狼谷外围,大Boss,第10层,噬月狼王,月下成王的狼谷霸主,378,83,1.42,噬月撕杀号,112,2.2,,裂岳扑杀,134,2.8,,吞血回息,71,3.4,回复气血,基准值=60; hp系数=6.3; dmg系数=1.38,1,1,归元指,归元指:120,247,2.74,按当前正式战斗口径可稳定通关,458
炼气,中期,野狼谷中心,普通怪,普通战斗层,裂齿狼妖,盘踞谷中的凶狼,160,50,1.66,裂爪,50,1.6,,扑杀号,59,2.0,,,,,,基准值=80; hp系数=2; dmg系数=0.62,1,1,归元指,归元指:120,100,0.91,按当前正式战斗口径可稳定通关,74
炼气,中期,野狼谷中心,小Boss,第5层,啸风狼将,在风中疾扑的谷中狼将,312,78,1.5,断喉扑,98,1.9,,裂骨撕咬,115,2.4,,,,,,基准值=80; hp系数=3.9; dmg系数=0.98,1,1,归元指,归元指:120,214,2.74,按当前正式战斗口径可稳定通关,239
炼气,中期,野狼谷中心,大Boss,第10层,噬月狼王,聚啸群狼的谷中狼王,504,110,1.4,噬月撕杀号,148,2.2,,裂岳扑杀,178,2.8,,吞血回息,94,3.4,回复气血,基准值=80; hp系数=6.3; dmg系数=1.38,1,1,归元指,归元指:120,569,4.56,按当前正式战斗口径可稳定通关,608
炼气,后期,野狼谷深处,普通怪,普通战斗层,血鬃狼妖,吞食血气后异变的狼妖,200,62,1.64,裂爪,62,1.6,,扑杀号,73,2.0,,,,,,基准值=100; hp系数=2; dmg系数=0.62,1,1,归元指,归元指:120,100,0.91,按当前正式战斗口径可稳定通关,92
炼气,后期,野狼谷深处,小Boss,第5层,赤瞳狼将,深处盘踞的赤目狼将,390,98,1.48,断喉扑,122,1.9,,裂骨撕咬,145,2.4,,,,,,基准值=100; hp系数=3.9; dmg系数=0.98,1,1,归元指,归元指:120,270,2.74,按当前正式战斗口径可稳定通关,300
炼气,后期,野狼谷深处,大Boss,第10层,噬月狼王,吞月异化的野狼谷王,630,138,1.38,噬月撕杀号,186,2.2,,裂岳扑杀,224,2.8,,吞血回息,117,3.4,回复气血,基准值=100; hp系数=6.3; dmg系数=1.38,1,1,归元指,归元指:120,714,5.47,按当前正式战斗口径可稳定通关,762
筑基,初期,青云剑墟,普通怪,普通战斗层,残剑灵,断剑残意化成的游魂,200,62,1.65,断锋刺,63,1.7,,回斩,76,2.1,,,,,,基准值=100; hp系数=2; dmg系数=0.62,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,100,0.91,按当前正式战斗口径可稳定通关,92
筑基,初期,青云剑墟,小Boss,第5层,断岳剑侍,守着剑墟门户的剑侍,390,98,1.49,穿心剑炁,127,2.0,,折锋连斩,149,2.5,,,,,,基准值=100; hp系数=3.9; dmg系数=0.98,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,277,2.74,按当前正式战斗口径可稳定通关,300
筑基,初期,青云剑墟,大Boss,第10层,断岳剑主,剑墟深处未灭的旧剑主,630,138,1.39,断岳斩,196,2.3,,千锋回廊,235,3.0,,剑息归身,124,3.6,回复气血,基准值=100; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,752,5.47,按当前正式战斗口径可稳定通关,762
筑基,中期,剑阁回廊,普通怪,普通战斗层,回廊剑魂,被旧剑意束缚的剑魂,240,74,1.63,断锋刺,75,1.7,,回斩,90,2.1,,,,,,基准值=120; hp系数=2; dmg系数=0.62,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,100,0.91,按当前正式战斗口径可稳定通关,110
筑基,中期,剑阁回廊,小Boss,第5层,锁廊剑将,巡走回廊的剑将残魂,468,118,1.47,穿心剑炁,153,2.0,,折锋连斩,179,2.5,,,,,,基准值=120; hp系数=3.9; dmg系数=0.98,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,333,2.74,按当前正式战斗口径可稳定通关,361
筑基,中期,剑阁回廊,大Boss,第10层,断岳剑主,回廊尽头执念不散的剑主,756,166,1.37,断岳斩,236,2.3,,千锋回廊,282,3.0,,剑息归身,149,3.6,回复气血,基准值=120; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,911,5.47,按当前正式战斗口径可稳定通关,912
筑基,后期,万剑峰,普通怪,普通战斗层,裂锋剑魄,万剑峰中最凶的剑魄,280,87,1.61,断锋刺,89,1.7,,回斩,106,2.1,,,,,,基准值=140; hp系数=2; dmg系数=0.62,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,100,0.91,按当前正式战斗口径可稳定通关,129
筑基,后期,万剑峰,小Boss,第5层,埋锋剑侯,藏于峰顶石壁的剑侯,546,137,1.45,穿心剑炁,178,2.0,,折锋连斩,208,2.5,,,,,,基准值=140; hp系数=3.9; dmg系数=0.98,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,565,3.65,按当前正式战斗口径可稳定通关,422
筑基,后期,万剑峰,大Boss,第10层,断岳剑主,万剑峰中残意最盛的剑主,882,193,1.35,断岳斩,274,2.3,,千锋回廊,328,3.0,,剑息归身,174,3.6,回复气血,基准值=140; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 破甲掌,归元指:120 / 破甲掌:142,1395,6.39,按当前正式战斗口径可稳定通关,1062
结丹,初期,火云洞口,普通怪,普通战斗层,炽骨魔,火云洞口游荡的骨魔,280,87,1.62,炎爪,90,1.7,,灼骨扑杀,108,2.1,,,,,,基准值=140; hp系数=2; dmg系数=0.62,3,2,破甲掌 / 焚心焰,破甲掌:142 / 焚心焰:162,100,0.91,按当前正式战斗口径可稳定通关,129
结丹,初期,火云洞口,小Boss,第5层,焚血魔将,专擅扑杀的火骨魔将,546,137,1.46,熔心撞击,181,2.0,,焚脉重踏,212,2.6,,,,,,基准值=140; hp系数=3.9; dmg系数=0.98,3,2,破甲掌 / 焚心焰,破甲掌:142 / 焚心焰:162,575,3.65,按当前正式战斗口径可稳定通关,422
结丹,初期,火云洞口,大Boss,第10层,熔心魔君,以熔火为心核的洞府魔首,882,193,1.36,熔心爆斩,280,2.4,,火渊坠击,340,3.0,,吞焰回心,178,3.8,回复气血,基准值=140; hp系数=6.3; dmg系数=1.38,3,3,归元指 / 破甲掌 / 焚心焰,归元指:120 / 破甲掌:142 / 焚心焰:162,1419,6.39,按当前正式战斗口径可稳定通关,1062
结丹,中期,熔火回廊,普通怪,普通战斗层,熔火魔躯,熔火之中淬成的魔躯,320,99,1.6,炎爪,103,1.7,,灼骨扑杀,123,2.1,,,,,,基准值=160; hp系数=2; dmg系数=0.62,3,2,破甲掌 / 焚心焰,破甲掌:142 / 焚心焰:162,227,1.82,按当前正式战斗口径可稳定通关,147
结丹,中期,熔火回廊,小Boss,第5层,熔炉魔尉,守在回廊深处的熔炉魔尉,624,157,1.44,熔心撞击,207,2.0,,焚脉重踏,243,2.6,,,,,,基准值=160; hp系数=3.9; dmg系数=0.98,3,3,归元指 / 破甲掌 / 焚心焰,归元指:120 / 破甲掌:142 / 焚心焰:162,661,3.65,按当前正式战斗口径可稳定通关,483
结丹,中期,熔火回廊,大Boss,第10层,熔心魔君,火脉最深处走出的熔心魔君,1008,221,1.34,熔心爆斩,320,2.4,,火渊坠击,389,3.0,,吞焰回心,203,3.8,回复气血,基准值=160; hp系数=6.3; dmg系数=1.38,3,3,归元指 / 破甲掌 / 焚心焰,归元指:120 / 破甲掌:142 / 焚心焰:162,2145,9.12,按当前正式战斗口径可稳定通关,1216
结丹,后期,魔渊入口,普通怪,普通战斗层,灼心炎魔,接近魔渊后心火愈盛的炎魔,360,112,1.58,炎爪,116,1.7,,灼骨扑杀,139,2.1,,,,,,基准值=180; hp系数=2; dmg系数=0.62,3,2,破甲掌 / 焚心焰,破甲掌:142 / 焚心焰:162,256,2.74,按当前正式战斗口径可稳定通关,166
结丹,后期,魔渊入口,小Boss,第5层,渊火魔将,镇守魔渊入口的火魔将,702,176,1.42,熔心撞击,232,2.0,,焚脉重踏,273,2.6,,,,,,基准值=180; hp系数=3.9; dmg系数=0.98,3,2,破甲掌 / 焚心焰,破甲掌:142 / 焚心焰:162,1011,5.47,按当前正式战斗口径可稳定通关,542
结丹,后期,魔渊入口,大Boss,第10层,熔心魔君,临近魔渊时完全觉醒的炎魔之君,1134,248,1.32,熔心爆斩,360,2.4,,火渊坠击,436,3.0,,吞焰回心,228,3.8,回复气血,基准值=180; hp系数=6.3; dmg系数=1.38,3,3,归元指 / 破甲掌 / 焚心焰,归元指:120 / 破甲掌:142 / 焚心焰:162,2437,9.12,按当前正式战斗口径可稳定通关,1366
元婴,初期,冰魄渊口,普通怪,普通战斗层,霜牙雪魈,潜伏冰层后的寒魈,360,112,1.59,冰牙啮,118,1.75,,霜裂扑,141,2.15,,,,,,基准值=180; hp系数=2; dmg系数=0.62,4,2,焚心焰 / 回元术,焚心焰:162 / 回元术:82,227,2.74,按当前正式战斗口径可稳定通关,166
元婴,初期,冰魄渊口,小Boss,第5层,寒魄魈将,掌控寒流的雪魈头目,702,176,1.43,冰魄冲锋,236,2.05,,寒渊重击,278,2.65,,,,,,基准值=180; hp系数=3.9; dmg系数=0.98,4,3,破甲掌 / 焚心焰 / 回元术,破甲掌:142 / 焚心焰:162 / 回元术:82,659,3.65,按当前正式战斗口径可稳定通关,542
元婴,初期,冰魄渊口,大Boss,第10层,寒魄雪主,凝聚极寒之息的雪魄首领,1134,248,1.33,寒魄裂空,367,2.45,,霜魂震地,446,3.1,,凝霜回息,236,3.9,回复气血,基准值=180; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 焚心焰 / 回元术,破甲掌:142 / 焚心焰:162 / 回元术:82,1701,9.12,按当前正式战斗口径可稳定通关,1366
元婴,中期,玄冰长阶,普通怪,普通战斗层,玄冰雪魈,沿长阶巡视的冰魈,400,124,1.57,冰牙啮,130,1.75,,霜裂扑,156,2.15,,,,,,基准值=200; hp系数=2; dmg系数=0.62,4,2,焚心焰 / 回元术,焚心焰:162 / 回元术:82,250,2.74,按当前正式战斗口径可稳定通关,184
元婴,中期,玄冰长阶,小Boss,第5层,踏冰魈将,长阶之上最凶的踏冰魈将,780,196,1.41,冰魄冲锋,263,2.05,,寒渊重击,310,2.65,,,,,,基准值=200; hp系数=3.9; dmg系数=0.98,4,3,破甲掌 / 焚心焰 / 回元术,破甲掌:142 / 焚心焰:162 / 回元术:82,846,3.65,按当前正式战斗口径可稳定通关,602
元婴,中期,玄冰长阶,大Boss,第10层,寒魄雪主,玄冰长阶尽头的寒主,1260,276,1.31,寒魄裂空,408,2.45,,霜魂震地,497,3.1,,凝霜回息,262,3.9,回复气血,基准值=200; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 焚心焰 / 回元术,破甲掌:142 / 焚心焰:162 / 回元术:82,1930,9.12,按当前正式战斗口径可稳定通关,1520
元婴,后期,霜魂禁地,普通怪,普通战斗层,霜魂妖魈,霜魂禁地里凝出的雪魈,440,136,1.55,冰牙啮,143,1.75,,霜裂扑,171,2.15,,,,,,基准值=220; hp系数=2; dmg系数=0.62,4,2,焚心焰 / 回元术,焚心焰:162 / 回元术:82,280,2.74,按当前正式战斗口径可稳定通关,202
元婴,后期,霜魂禁地,小Boss,第5层,禁地主魈,看守禁地的主魈,858,216,1.39,冰魄冲锋,289,2.05,,寒渊重击,341,2.65,,,,,,基准值=220; hp系数=3.9; dmg系数=0.98,4,3,破甲掌 / 焚心焰 / 回元术,破甲掌:142 / 焚心焰:162 / 回元术:82,1097,5.47,按当前正式战斗口径可稳定通关,663
元婴,后期,霜魂禁地,大Boss,第10层,寒魄雪主,霜魂禁地中真正的雪主,1386,304,1.29,寒魄裂空,450,2.45,,霜魂震地,547,3.1,,凝霜回息,289,3.9,回复气血,基准值=220; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 焚心焰 / 回元术,破甲掌:142 / 焚心焰:162 / 回元术:82,2534,10.95,按当前正式战斗口径可稳定通关,1674
