大境界,目标大境界,破境丹ID,基础成功率,突破丹成功率加成,失败冷却秒,广告位ID,成功标题,成功文案,失败标题,失败文案,渡劫表现级别,排序,备注
炼气,筑基,break_dan_1,0.10,0.50,300,ad_break_cd_skip,破境成功,你引灵入脉，肉身震鸣，正式踏入筑基初期。,破境受阻,灵息未能完全贯通，经脉暂时闭锁，需要稍候再试。,lightning_small,10,首个破境节点
筑基,结丹,break_dan_2,0.10,0.50,420,ad_break_cd_skip,结丹有成,丹田凝核，灵力终于有了稳定归处。,破境受阻,灵力回卷丹田，结丹未成，需要平复气息后再试。,lightning_small,20,第二个破境节点
结丹,元婴,break_dan_3,0.10,0.50,540,ad_break_cd_skip,元婴初成,神魂离体一瞬又归位，你已踏入元婴之境。,破境受阻,神魂动荡未稳，尚不足以孕化元婴。,lightning_medium,30,第三个破境节点
元婴,化神,break_dan_4,0.10,0.50,660,ad_break_cd_skip,化神成功,神魂与法身相合，识海骤然开阔。,破境受阻,神魂未能彻底蜕变，需待灵台重稳。,lightning_medium,40,中期关键节点
化神,炼虚,break_dan_5,0.10,0.50,780,ad_break_cd_skip,炼虚已成,你感到周身灵机被再次压缩，虚实边界开始松动。,破境受阻,虚相未开，灵机回落，需要重新凝炼。,lightning_medium,50,中期关键节点
炼虚,合体,break_dan_6,0.10,0.50,900,ad_break_cd_skip,合体成功,神魂与肉身彻底重合，气机浑然一体。,破境受阻,合体未稳，肉身与神魂仍有裂隙。,lightning_large,60,合体前高压节点
合体,大乘,break_dan_7,0.10,0.50,1080,ad_break_cd_skip,大乘已成,天地灵机在你体内往复循环，你已触及大乘门槛。,破境受阻,气机未能撑住天地压迫，需要更强积累。,lightning_large,70,高阶破境节点
大乘,渡劫,break_dan_8,0.10,0.50,1260,ad_break_cd_skip,渡劫在即,雷意灌体而不散，你终于迈入渡劫初期。,破境受阻,天威压身，你尚未完全承住这一步。,lightning_large,80,高阶破境节点
渡劫,真仙,break_dan_9,0.10,0.50,1500,ad_break_cd_skip,真仙显化,雷火散尽后，你的法身已具仙意。,破境受阻,劫后余波未消，仙躯尚未真正凝成。,thunder_immortal,90,仙阶起点
真仙,金仙,break_dan_10,0.10,0.50,1740,ad_break_cd_skip,金仙有成,仙元沉凝，你的气息变得愈发厚重。,破境受阻,仙元未能彻底稳固，金身尚未成型。,thunder_immortal,100,仙阶中段
金仙,太乙,break_dan_11,0.10,0.50,1980,ad_break_cd_skip,太乙初定,大道余韵首次在你身上留下完整痕迹。,破境受阻,大道之意尚未完全承受，需再稳固根基。,thunder_immortal,110,仙阶中段
太乙,大罗,break_dan_12,0.10,0.50,2220,ad_break_cd_skip,大罗已入,法则感知骤然提升，你已立于更高维度。,破境受阻,法则反噬未平，尚不可强行再进。,thunder_immortal,120,高仙阶节点
大罗,仙王,break_dan_13,0.10,0.50,2460,ad_break_cd_skip,仙王临身,王境气场成形，威势远超往昔。,破境受阻,王境未稳，法则掌控仍显不足。,thunder_supreme,130,顶层前段
仙王,道祖,break_dan_14,0.10,0.50,2700,ad_break_cd_skip,道祖已成,万法归一，你终于抵达当前版本最高境界。,破境受阻,大道仍有隔膜，尚未真正登临绝巅。,thunder_supreme,140,当前版本最高破境节点
