stageId,waveId,waveType,startSecond,endSecond,themeTag,pressureTag,spawnPattern,arenaHint,enemyGroupId,spawnIntervalSec,maxAliveNormal,maxAliveElite,eliteRef,bossRef,clearRewardTrigger,relatedWT,notes
LQ_EARLY_01,W01,wave,0,16,wolf_hunt,opening,edge_ring,四周环绕入场,lq_early_01_w01_open,2.55,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第1波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W02,wave,16,32,wolf_hunt,stable,edge_ring,四周环绕入场,lq_early_01_w02_stable,2.5,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第2波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W03,wave,32,48,wolf_hunt,mix,cross_stream,交错穿流入场,lq_early_01_w03_mix,2.45,15,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第3波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W04,wave,48,64,wolf_hunt,pre_elite_1,front_pressure,正面持续压入,lq_early_01_w04_pre_elite,2.4,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第4波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W05,elite,64,82,wolf_hunt,elite_gate_1,front_pressure,第一精英正面压入,lq_early_01_w04_pre_elite,2.35,14,1,elite_lq_early_01_01,,elite_1,WT-LR-02|WT-LR-07|WT-LR-08,第5波精英节点，清场后继续局内升级与三选一。
LQ_EARLY_01,W06,wave,82,98,wolf_hunt,after_elite_1,side_compress,左右同步压缩,lq_early_01_w06_after_elite,2.3,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第6波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W07,wave,98,114,wolf_hunt,cross,cross_stream,交错穿流入场,lq_early_01_w07_cross,2.25,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第7波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W08,wave,114,130,wolf_hunt,range_mix,backline_mix,后场远程混入,lq_early_01_w08_range,2.2,19,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第8波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W09,wave,130,146,wolf_hunt,pre_elite_2,front_pressure,正面持续压入,lq_early_01_w09_pre_elite2,2.15,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第9波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W10,elite,146,164,wolf_hunt,elite_gate_2,side_compress,第二精英侧向压缩,lq_early_01_w09_pre_elite2,2.1,16,1,elite_lq_early_01_02,,elite_2,WT-LR-02|WT-LR-07|WT-LR-08,第10波精英节点，清场后继续局内升级与三选一。
LQ_EARLY_01,W11,wave,164,180,wolf_hunt,rebuild,edge_ring,四周环绕入场,lq_early_01_w11_rebuild,2.05,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第11波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W12,wave,180,196,wolf_hunt,special,cross_stream,交错穿流入场,lq_early_01_w12_special,2.0,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第12波常规敌潮，承担局内升级与资源产出。
