enemyId,大境界,阶段,关卡,敌人类型,敌人名称,档案标题,完整立绘文件,缩略图文件,推荐尺寸,背景要求,提示词,状态
炼气_初期_野狼谷外围_普通怪_灰鬃狼妖,炼气,初期,野狼谷外围,普通怪,灰鬃狼妖,山谷边缘游荡的狼妖,炼气_初期_野狼谷外围_普通怪_灰鬃狼妖_full.png,炼气_初期_野狼谷外围_普通怪_灰鬃狼妖_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气初期，灰鬃狼妖，山谷边缘游荡的狼妖，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼气_初期_野狼谷外围_小Boss_铜爪狼将,炼气,初期,野狼谷外围,小Boss,铜爪狼将,率群狩猎的狼群头目,炼气_初期_野狼谷外围_小Boss_铜爪狼将_full.png,炼气_初期_野狼谷外围_小Boss_铜爪狼将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气初期，铜爪狼将，率群狩猎的狼群头目，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼气_初期_野狼谷外围_大Boss_噬月狼王,炼气,初期,野狼谷外围,大Boss,噬月狼王,月下成王的狼谷霸主,炼气_初期_野狼谷外围_大Boss_噬月狼王_full.png,炼气_初期_野狼谷外围_大Boss_噬月狼王_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气初期，噬月狼王，月下成王的狼谷霸主，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼气_中期_野狼谷中心_普通怪_裂齿狼妖,炼气,中期,野狼谷中心,普通怪,裂齿狼妖,盘踞谷中的凶狼,炼气_中期_野狼谷中心_普通怪_裂齿狼妖_full.png,炼气_中期_野狼谷中心_普通怪_裂齿狼妖_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气中期，裂齿狼妖，盘踞谷中的凶狼，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼气_中期_野狼谷中心_小Boss_啸风狼将,炼气,中期,野狼谷中心,小Boss,啸风狼将,在风中疾扑的谷中狼将,炼气_中期_野狼谷中心_小Boss_啸风狼将_full.png,炼气_中期_野狼谷中心_小Boss_啸风狼将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气中期，啸风狼将，在风中疾扑的谷中狼将，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼气_中期_野狼谷中心_大Boss_噬月狼王,炼气,中期,野狼谷中心,大Boss,噬月狼王,聚啸群狼的谷中狼王,炼气_中期_野狼谷中心_大Boss_噬月狼王_full.png,炼气_中期_野狼谷中心_大Boss_噬月狼王_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气中期，噬月狼王，聚啸群狼的谷中狼王，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼气_后期_野狼谷深处_普通怪_血鬃狼妖,炼气,后期,野狼谷深处,普通怪,血鬃狼妖,吞食血气后异变的狼妖,炼气_后期_野狼谷深处_普通怪_血鬃狼妖_full.png,炼气_后期_野狼谷深处_普通怪_血鬃狼妖_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气后期，血鬃狼妖，吞食血气后异变的狼妖，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼气_后期_野狼谷深处_小Boss_赤瞳狼将,炼气,后期,野狼谷深处,小Boss,赤瞳狼将,深处盘踞的赤目狼将,炼气_后期_野狼谷深处_小Boss_赤瞳狼将_full.png,炼气_后期_野狼谷深处_小Boss_赤瞳狼将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气后期，赤瞳狼将，深处盘踞的赤目狼将，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼气_后期_野狼谷深处_大Boss_噬月狼王,炼气,后期,野狼谷深处,大Boss,噬月狼王,吞月异化的野狼谷王,炼气_后期_野狼谷深处_大Boss_噬月狼王_full.png,炼气_后期_野狼谷深处_大Boss_噬月狼王_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼气后期，噬月狼王，吞月异化的野狼谷王，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
筑基_初期_青云剑墟_普通怪_残剑灵,筑基,初期,青云剑墟,普通怪,残剑灵,断剑残意化成的游魂,筑基_初期_青云剑墟_普通怪_残剑灵_full.png,筑基_初期_青云剑墟_普通怪_残剑灵_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基初期，残剑灵，断剑残意化成的游魂，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
