bossId,stageId,bossName,realm,atlasId,bossEnemyId,mechanic1Name,mechanic1Desc,mechanic2Name,mechanic2Desc,phase1Trigger,phase2Trigger,summonEnemyGroupId,enrageThreshold,enrageBehavior,mechanicTelegraph,rewardDropGroup,wxAcceptanceCase
boss_lq_early_01,LQ_EARLY_01,噬月狼王,炼气,monster_0_boss,lq_early_01_boss,扑月,首领突进扑杀并压缩正面安全区。,狼群召引,首领召来狼群从两翼夹击，迫使玩家横移。,boss_hp<=0.70,boss_hp<=0.35,lq_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lq_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_lq_mid_01,LQ_MID_01,噬月狼王,炼气,monster_0_boss,lq_mid_01_boss,扑月,首领突进扑杀并压缩正面安全区。,狼群召引,首领召来狼群从两翼夹击，迫使玩家横移。,boss_hp<=0.70,boss_hp<=0.35,lq_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lq_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_lq_late_01,LQ_LATE_01,噬月狼王,炼气,monster_0_boss,lq_late_01_boss,扑月,首领突进扑杀并压缩正面安全区。,狼群召引,首领召来狼群从两翼夹击，迫使玩家横移。,boss_hp<=0.70,boss_hp<=0.35,lq_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lq_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_zj_early_01,ZJ_EARLY_01,断岳剑主,筑基,monster_1_boss,zj_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zj_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zj_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_zj_mid_01,ZJ_MID_01,断岳剑主,筑基,monster_1_boss,zj_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zj_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zj_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_zj_late_01,ZJ_LATE_01,断岳剑主,筑基,monster_1_boss,zj_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zj_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zj_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_jd_early_01,JD_EARLY_01,熔心魔君,结丹,monster_2_boss,jd_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jd_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jd_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_jd_mid_01,JD_MID_01,熔心魔君,结丹,monster_2_boss,jd_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jd_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jd_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_jd_late_01,JD_LATE_01,熔心魔君,结丹,monster_2_boss,jd_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jd_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jd_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_yy_early_01,YY_EARLY_01,寒魄雪主,元婴,monster_3_boss,yy_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,yy_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_yy_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_yy_mid_01,YY_MID_01,寒魄雪主,元婴,monster_3_boss,yy_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,yy_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_yy_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_yy_late_01,YY_LATE_01,寒魄雪主,元婴,monster_3_boss,yy_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,yy_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_yy_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_hs_early_01,HS_EARLY_01,天雷鹏王,化神,monster_4_boss,hs_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,hs_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_hs_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_hs_mid_01,HS_MID_01,天雷鹏王,化神,monster_4_boss,hs_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,hs_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_hs_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_hs_late_01,HS_LATE_01,天雷鹏王,化神,monster_4_boss,hs_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,hs_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_hs_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_lx_early_01,LX_EARLY_01,空冥主眼,炼虚,monster_5_boss,lx_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,lx_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lx_early_01_boss_clear,WT-LR-10|WT-LR-11
