大境界,阶段,关卡,敌人类型,出现位置,敌人名称,档案标题,气血,煞气,基础伤害,行动CD,技能1名称,技能1伤害,技能1CD,技能1效果,技能2名称,技能2伤害,技能2CD,技能2效果,技能3名称,技能3伤害,技能3CD,技能3效果,数值备注,当前可解锁神通数,最低通关神通数,最低通关神通组合,组合单次伤害,最低通关气血,最低通关煞气,最低通关预估秒数,通关结果说明
炼气,初期,野狼谷外围,普通怪,普通战斗层,灰鬃狼妖,山谷边缘游荡的狼妖,120,0,37,1.68,裂爪,37,1.6,,扑杀号,44,2.0,,,,,,基准值=60; hp系数=2; dmg系数=0.62,2,1,归元指,归元指:120,100,0,0.0,按最低气血优先规则计算的可通关门槛
炼气,初期,野狼谷外围,小Boss,第5层,铜爪狼将,率群狩猎的狼群头目,234,3,59,1.52,断喉扑,74,1.9,,裂骨撕咬,87,2.4,,,,,,基准值=60; hp系数=3.9; dmg系数=0.98,2,1,归元指,归元指:120,162,0,1.82,按最低气血优先规则计算的可通关门槛
炼气,初期,野狼谷外围,大Boss,第10层,噬月狼王,月下成王的狼谷霸主,378,6,83,1.42,噬月撕杀号,112,2.2,,裂岳扑杀,134,2.8,,吞血回息,71,3.4,回复气血,基准值=60; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,247,0,2.74,按最低气血优先规则计算的可通关门槛
炼气,中期,野狼谷中心,普通怪,普通战斗层,裂齿狼妖,盘踞谷中的凶狼,160,0,50,1.66,裂爪,50,1.6,,扑杀号,59,2.0,,,,,,基准值=80; hp系数=2; dmg系数=0.62,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,100,0,0.91,按最低气血优先规则计算的可通关门槛
炼气,中期,野狼谷中心,小Boss,第5层,啸风狼将,在风中疾扑的谷中狼将,312,4,78,1.5,断喉扑,98,1.9,,裂骨撕咬,115,2.4,,,,,,基准值=80; hp系数=3.9; dmg系数=0.98,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,214,0,2.74,按最低气血优先规则计算的可通关门槛
炼气,中期,野狼谷中心,大Boss,第10层,噬月狼王,聚啸群狼的谷中狼王,504,7,110,1.4,噬月撕杀号,148,2.2,,裂岳扑杀,178,2.8,,吞血回息,94,3.4,回复气血,基准值=80; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,569,0,4.56,按最低气血优先规则计算的可通关门槛
炼气,后期,野狼谷深处,普通怪,普通战斗层,血鬃狼妖,吞食血气后异变的狼妖,200,0,62,1.64,裂爪,62,1.6,,扑杀号,73,2.0,,,,,,基准值=100; hp系数=2; dmg系数=0.62,2,2,归元指 / 清心诀,归元指:126 / 清心诀:74,100,100,0.91,按最低气血优先规则计算的可通关门槛
炼气,后期,野狼谷深处,小Boss,第5层,赤瞳狼将,深处盘踞的赤目狼将,390,5,98,1.48,断喉扑,122,1.9,,裂骨撕咬,145,2.4,,,,,,基准值=100; hp系数=3.9; dmg系数=0.98,2,2,归元指 / 清心诀,归元指:123 / 清心诀:72,270,50,2.74,按最低气血优先规则计算的可通关门槛
炼气,后期,野狼谷深处,大Boss,第10层,噬月狼王,吞月异化的野狼谷王,630,8,138,1.38,噬月撕杀号,186,2.2,,裂岳扑杀,224,2.8,,吞血回息,117,3.4,回复气血,基准值=100; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,714,0,5.47,按最低气血优先规则计算的可通关门槛
筑基,初期,青云剑墟,普通怪,普通战斗层,残剑灵,断剑残意化成的游魂,200,0,62,1.65,断锋刺,63,1.7,,回斩,76,2.1,,,,,,基准值=100; hp系数=2; dmg系数=0.62,4,2,破甲掌 / 归元指,破甲掌:140 / 归元指:120,100,0,0.91,按最低气血优先规则计算的可通关门槛
筑基,初期,青云剑墟,小Boss,第5层,断岳剑侍,守着剑墟门户的剑侍,390,4,98,1.49,穿心剑炁,127,2.0,,折锋连斩,149,2.5,,,,,,基准值=100; hp系数=3.9; dmg系数=0.98,4,2,破甲掌 / 归元指,破甲掌:140 / 归元指:120,277,0,2.74,按最低气血优先规则计算的可通关门槛
筑基,初期,青云剑墟,大Boss,第10层,断岳剑主,剑墟深处未灭的旧剑主,630,7,138,1.39,断岳斩,196,2.3,,千锋回廊,235,3.0,,剑息归身,124,3.6,回复气血,基准值=100; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:140 / 归元指:120 / 清心诀:70,752,0,5.47,按最低气血优先规则计算的可通关门槛
筑基,中期,剑阁回廊,普通怪,普通战斗层,回廊剑魂,被旧剑意束缚的剑魂,240,0,74,1.63,断锋刺,75,1.7,,回斩,90,2.1,,,,,,基准值=120; hp系数=2; dmg系数=0.62,4,2,破甲掌 / 归元指,破甲掌:140 / 归元指:120,100,0,0.91,按最低气血优先规则计算的可通关门槛
筑基,中期,剑阁回廊,小Boss,第5层,锁廊剑将,巡走回廊的剑将残魂,468,5,118,1.47,穿心剑炁,153,2.0,,折锋连斩,179,2.5,,,,,,基准值=120; hp系数=3.9; dmg系数=0.98,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:140 / 归元指:120 / 清心诀:70,333,0,2.74,按最低气血优先规则计算的可通关门槛
筑基,中期,剑阁回廊,大Boss,第10层,断岳剑主,回廊尽头执念不散的剑主,756,8,166,1.37,断岳斩,236,2.3,,千锋回廊,282,3.0,,剑息归身,149,3.6,回复气血,基准值=120; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:146 / 归元指:125 / 清心诀:73,911,80,5.47,按最低气血优先规则计算的可通关门槛
筑基,后期,万剑峰,普通怪,普通战斗层,裂锋剑魄,万剑峰中最凶的剑魄,280,0,87,1.61,断锋刺,89,1.7,,回斩,106,2.1,,,,,,基准值=140; hp系数=2; dmg系数=0.62,4,2,破甲掌 / 归元指,破甲掌:151 / 归元指:130,100,160,0.91,按最低气血优先规则计算的可通关门槛
筑基,后期,万剑峰,小Boss,第5层,埋锋剑侯,藏于峰顶石壁的剑侯,546,6,137,1.45,穿心剑炁,178,2.0,,折锋连斩,208,2.5,,,,,,基准值=140; hp系数=3.9; dmg系数=0.98,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:140 / 归元指:120 / 清心诀:70,565,0,3.65,按最低气血优先规则计算的可通关门槛
筑基,后期,万剑峰,大Boss,第10层,断岳剑主,万剑峰中残意最盛的剑主,882,9,193,1.35,断岳斩,274,2.3,,千锋回廊,328,3.0,,剑息归身,174,3.6,回复气血,基准值=140; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:148 / 归元指:127 / 清心诀:74,1395,110,6.39,按最低气血优先规则计算的可通关门槛
